kepid,kepler_name,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_prad,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_fwm_stat_sig,koi_eccen,koi_srho,koi_sma,koi_max_sngle_ev,koi_model_chisq
10797460,Kepler-227 b,9.48803557,0.146,2.9575,615.8,0.022344,2.26,28.47082,35.8,142,0.002,0,3.20796,0.0853,5.135849,
10797460,Kepler-227 c,54.4183827,0.586,4.507,874.8,0.027954,2.83,20.109507,25.8,25,0.003,0,3.02368,0.2734,7.027669,
10811496,,19.89913995,0.969,1.7822,10829,0.154046,14.6,187.4491,76.3,56,0.278,0,7.29555,0.1419,37.159767,
10848459,,1.736952453,1.276,2.40641,8079.2,0.387394,33.46,541.8951,505.6,621,0.0,0,0.2208,0.0267,39.06655,
10854555,Kepler-664 b,2.525591777,0.701,1.6545,603.3,0.024064,2.75,33.1919,40.9,515,0.733,0,1.98635,0.0374,4.749945,
10872983,Kepler-228 d,11.09432054,0.538,4.5945,1517.5,0.036779,3.9,55.204865,66.5,95,,0,0.67324,0.0992,9.046456,
10872983,Kepler-228 c,4.13443512,0.762,3.1402,686,0.026133,2.77,33.546658,40.2,240,,0,0.37377,0.0514,5.500643,
10872983,Kepler-228 b,2.56658897,0.755,2.429,226.5,0.014983,1.59,12.325094,15.0,355,,0,0.48909,0.0374,4.3886313,
6721123,,7.36178958,1.169,5.022,233.7,0.183387,39.21,46.15308,47.7,185,0.0,0,0.00485,0.082,10.964684,
10910878,Kepler-229 c,16.06864674,0.052,3.5347,4914.3,0.062161,5.76,137.44981,161.9,69,0.063,0,3.6659,0.1158,20.457163,
11446443,Kepler-1 b,2.470613377,0.818,1.74319,14230.9,0.123871,13.04,6468.04,4304.3,432,0.0,0,1.83538,0.0354,544.1701,
10666592,Kepler-2 b,2.204735417,0.224,3.88864,6674.7,0.075522,16.1,3862.1846,5945.9,611,,0,0.37936,0.0376,232.27,
6922244,Kepler-8 b,3.522498429,0.631,3.19843,9145.7,0.092086,14.59,1725.5824,1741.5,384,0.0,0,0.65374,0.0473,130.83832,
10984090,Kepler-466 c,3.709214104,0.051,2.6302,131.1,0.010424,1.16,41.28873,50.6,352,0.009,0,1.77451,0.0465,4.8657312,
10419211,,11.521446064,2.483,3.6399,17984.3,1.625358,150.51,628.3708,622.1,96,0.895,0,1.27376,0.0978,92.901566,
10464078,,19.40393776,0.804,12.2155,8918.7,0.096729,7.18,320.90817,214.7,71,0.048,0,0.03785,0.123,49.468765,
10480982,,19.221388942,1.065,4.79843,74284,0.476633,49.29,2174.4263,2317.0,55,0.0,0,1.57359,0.1417,387.658,
10485250,,16.46983774,0.292,9.4378,10478.9,0.092509,7.94,258.8247,303.4,66,0.0,0,0.19353,0.1147,43.1625,
10526549,Kepler-660 b,9.27358173,0.387,3.2875,1288.3,0.032563,2.47,71.48005,87.2,144,0.037,0,1.93557,0.0759,9.616924,
10583066,Kepler-661 b,6.02930329,0.258,1.5821,1912.7,0.038838,2.85,52.36939,65.4,215,0.77,0,13.09803,0.0585,6.876831,
10583180,,2.696370652,0.044,3.6129,397.9,0.017673,1.58,34.570904,48.2,501,0.0,0,0.51471,0.0349,5.508401,
10601284,Kepler-226 c,5.349553819,0.092,3.0278,831,0.025706,2.55,48.504196,60.6,247,0.002,0,1.73782,0.0563,6.0370364,
10601284,Kepler-226 b,3.94105221,0.226,2.5984,363.3,0.017105,1.7,22.749151,28.9,322,0.464,0,1.85636,0.046,4.5118856,
10601284,Kepler-226 d,8.10904807,0.025,3.596,217.4,0.013127,1.3,9.776852,14.1,141,0.013,0,1.5302,0.0743,4.434382,
2306756,,386.6030528,0.9765,6.8057,24926.6,0.240528,41.5,,994.0,,0.002,0,4.63335,1.0719,,
10662202,Kepler-662 b,21.67699193,0.896,3.4555,857.2,0.032666,2.95,24.54073,34.3,62,0.103,0,0.60007,0.1408,5.911944,
