kepid,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_prad,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_fwm_stat_sig,koi_eccen,koi_srho,koi_sma,koi_max_sngle_ev,koi_model_chisq
10797460,Kepler-227 b,CONFIRMED,9.48803557,0.146,2.9575,615.8,0.022344,2.26,28.47082,35.8,142,0.002,0,3.20796,0.0853,5.135849,
10797460,Kepler-227 c,CONFIRMED,54.4183827,0.586,4.507,874.8,0.027954,2.83,20.109507,25.8,25,0.003,0,3.02368,0.2734,7.027669,
10811496,,CANDIDATE,19.89913995,0.969,1.7822,10829,0.154046,14.6,187.4491,76.3,56,0.278,0,7.29555,0.1419,37.159767,
10848459,,FALSE POSITIVE,1.736952453,1.276,2.40641,8079.2,0.387394,33.46,541.8951,505.6,621,0.0,0,0.2208,0.0267,39.06655,
6721123,,FALSE POSITIVE,7.36178958,1.169,5.022,233.7,0.183387,39.21,46.15308,47.7,185,0.0,0,0.00485,0.082,10.964684,
10910878,Kepler-229 c,CONFIRMED,16.06864674,0.052,3.5347,4914.3,0.062161,5.76,137.44981,161.9,69,0.063,0,3.6659,0.1158,20.457163,
10910878,Kepler-229 d,CONFIRMED,41.19725502,0.045,4.6297,2213.9,0.041693,3.86,37.877567,51.2,26,0.123,0,3.9471,0.217,11.918161,
10910878,Kepler-229 b,CONFIRMED,6.252962249,0.105,2.5819,1036.9,0.028604,2.65,35.96252,47.1,167,0.236,0,3.28707,0.0617,5.834264,
11446443,Kepler-1 b,CONFIRMED,2.470613377,0.818,1.74319,14230.9,0.123871,13.04,6468.04,4304.3,432,0.0,0,1.83538,0.0354,544.1701,
10666592,Kepler-2 b,CONFIRMED,2.204735417,0.224,3.88864,6674.7,0.075522,16.1,3862.1846,5945.9,611,,0,0.37936,0.0376,232.27,
10984090,Kepler-466 c,CONFIRMED,3.709214104,0.051,2.6302,131.1,0.010424,1.16,41.28873,50.6,352,0.009,0,1.77451,0.0465,4.8657312,
10984090,Kepler-466 b,CONFIRMED,51.07926451,0.017,6.3729,736.8,0.024683,2.75,105.49973,126.8,29,0.255,0,1.79031,0.2671,24.094358,
10419211,,FALSE POSITIVE,11.521446064,2.483,3.6399,17984.3,1.625358,150.51,628.3708,622.1,96,0.895,0,1.27376,0.0978,92.901566,
