toi,tid,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
1000.01,50365310,FP,2.1713484,2.0172196,656.8860989,9.604,485.735,10249.0,4.19,2.16986
1002.01,124709665,FP,1.8675574,1.408,1500.0,9.299501,943.109,8924.0,,5.73
1003.01,106997505,FP,2.74323,3.167,383.41,9.3003,7728.17,5388.5,4.15,
1004.01,238597883,FP,3.5730141,3.37,755.0,9.1355,356.437,9219.0,4.14,2.15
1005.01,169904935,FP,4.5505945,2.654,3731.0,9.1309,100.711,5613.0,,1.09
1006.01,156115721,FP,2.5047918,4.3797563,2270.5402194,9.2386,,6616.0,,1.53429
1008.01,440801822,FP,2.0483755,2.767,483.0,8.9362,144.297,6858.5,4.2,1.57
101.01,231663901,KP,1.4303699,1.6165994,18960.7122944,12.4069,375.31,5600.0,4.48851,0.890774
1014.01,96246348,FP,1.4095184,0.9484999,2841.5103258,7.678,224.672,9307.0,,
1016.01,175310067,FP,12.6889415,7.9201001,3232.8527885,10.6257,368.646,7601.0,4.31,1.53641
1017.01,182943944,FP,1.10422,2.37,14177.7,10.6019,406.997,6995.2,4.07,1.61
1018.01,291555748,FP,4.95912,2.509,7440.0,10.6254,360.541,5889.0,3.86,2.0
1022.01,47384844,FA,3.09574,4.475,380.0,8.72924,120.666,6084.0,4.13,1.41
1023.01,238374636,FP,1.3214483,3.435,2180.0,9.697,316.398,5050.8,3.56,2.99
1026.01,388624270,FP,14.2628757,6.9350494,913.2067174,9.9138,105.677,5690.0,4.58,0.853898
1028.01,447283466,FP,1.01606,2.843,240.0,7.9059,23.7748,4634.0,4.64,0.68
1029.01,374908020,FP,36.22214,5.107,7170.0,6.841,,,,
1030.01,464296022,FP,12.1246519,4.612,7279.0,9.5706,78.41273,4807.6,4.17,1.07
1031.01,304021498,FP,5.652623,3.434,1250.0,9.7318,270.771,6415.4,3.98,1.92
1033.01,149601557,FP,29.0160175,5.345,1389.0,10.0163,219.94,6113.1,,2.01
1034.01,400595342,FP,3.6404389,2.5339234,476.3077321,9.8174,363.44,9810.0,4.43,1.60776
1037.01,363260203,FP,1.2025238,1.991,390.0,9.0211,279.698,9158.0,4.32,1.74
1038.01,90544017,FP,3.2235985,2.159,680.0,8.7157,280.765,8904.0,4.09,2.17
1040.01,310483807,FP,2.55555,1.566,340.0,8.3854,732.432,10037.0,,6.04
1041.01,385624852,FP,8.30792,3.228,8350.0,8.0981,305.034,9081.0,3.83,3.05
1045.01,54044474,FP,3.7039994,4.277,7590.0,9.6306,300.696,7013.8,4.21,1.9
1046.01,309787037,FP,1.3042553,1.706,914.0,10.0119,301.298,6762.0,4.11,1.75
1047.01,370745311,FP,0.62627,0.666,1880.0,10.2355,134.926,5622.0,4.5,0.93
1048.01,384549882,FP,0.30412,0.748,1330.0,8.802,440.426,11892.0,4.14,2.52
105.01,144065872,KP,2.1846669,2.86528,11708.0228549,9.4995,137.544,5630.0,4.37759,1.23824
1050.01,66818296,KP,3.7354838,4.142,17030.0,11.0261,405.908,6650.0,4.1639,1.57
1052.01,317060587,CP,9.139804,3.0912936,358.4157801,9.0197,129.804,5958.2,4.34,1.58
1053.01,112395568,FP,5.742625,2.860293,1105.760867,8.8849,263.729,5664.0,3.26574,3.86959
1054.01,366989877,CP,15.5077855,4.565,513.0,8.4362,88.4343,6122.0,4.30881,1.17
1055.01,320004517,CP,17.4713078,4.4284819,1199.7541483,8.0888,57.2651,5783.54,4.49925,0.974669
106.01,38846515,KP,2.8493825,3.567,8049.0,10.3157,364.411,6900.0,4.438,1.77
1061.01,253990973,FP,0.540933,1.674337,257.347459,9.7345,133.171,5525.0,4.25342,1.21935
1062.01,299799658,CP,4.1150576,1.08,487.0,9.478,82.1733,5394.0,4.50942,0.89
1064.01,79748331,CP,6.4438657,1.9309449,1121.9512275,10.0059,68.0726,4803.0,4.52079,0.737189
1064.02,79748331,CP,12.2265595,2.1904379,1206.3693293,10.0059,68.0726,4803.0,4.52079,0.737189
1065.01,7088246,KP,2.160344,1.828854,19357.992992,13.2851,639.004,5780.0,4.32928,1.2
1066.01,201604954,KP,4.606184,3.121643,13793.034867,11.9707,353.891,5670.0,4.3925,1.07
1067.01,201642601,KP,3.1316735,2.4579197,14915.6943722,13.1686,263.609,4351.0,4.438,0.76701
1070.01,31858844,FP,2.9776152,3.25697,43218.111683,15.7114,,5740.0,4.29219,1.28
1071.01,120247528,KP,3.5544026,2.0550535,10164.8753396,11.5803,290.198,5639.0,4.37172,1.11499
1072.01,140830390,FP,12.8379689,9.8464123,10539.0192794,11.7106,703.878,5765.0,4.34773,2.4494
1073.01,158297421,CP,3.9228016,1.8736007,31510.9004906,13.6699,300.67,4444.0,4.438,0.6983
1075.01,351601843,CP,0.6047392,1.0403847,1027.6833479,11.1186,61.4592,4046.0,4.60963,0.580337
1076.01,360742636,KP,2.5495611,2.6173308,14921.4021936,11.2474,248.46,5659.0,4.44653,1.03997
1078.01,370133522,CP,0.5182425,0.8565249,831.8920424,10.1165,20.373,3325.0,4.88693,0.390989
108.01,289793076,KP,3.0440541,2.5984575,22236.0165376,13.163,421.855,5523.0,4.52192,0.809868
1084.01,380589029,KP,1.3484961,2.4074261,18463.7636682,12.2851,494.182,6346.0,4.38484,1.14759
1087.01,426077080,FP,9.30992,3.464,2220.0,9.4142,416.25,6907.0,3.63,3.09
1089.01,129319156,FP,4.73703,3.902,2410.0,10.3918,778.127,11600.0,4.13,2.48
109.01,29344935,KP,2.76676,2.6872178,14947.4387827,13.2366,513.011,5346.0,4.48823,0.984866
1090.01,361034196,FP,2.19296,4.586,4933.74,10.0196,566.502,7009.8,3.6,2.95
1092.01,387079085,FP,1.1923,3.119,3730.0,9.0039,209.919,6534.0,3.95,2.04
